Narration/Audio,Row,Duration (in seconds),ScreenRec,Visual,Category
,1—STORY       (2 Mins),,,,Story
,,,,,Story
"Why did Webflow, a start-up worth $4b put a kid from the island of Lapu-Lapu, Cebu on the tallest billboard in Times Square?",1.1,10,,Times Square,Story
"To answer that, let me tell you a story. Rewind to 2022. 

I was a high school student. 
I've been driven by a passion for research. 

From science investigatory projects.",1.2,12,,"Ecotech, STEAM, Robotics Photo (bryner)

Fade to BnW",Story
To robotics,,,,,Business
"and even the social sciences, which landed me on Google Scholar",,,,,Business
However,,,,,Business
opportunities and resources felt limited in the Philippines.,,,,,Business
"I discovered international scholarships. 

I was already working at a company building software, so I had the privilege to take the necessary exams.",1.3,15,,"SAT + IELTS = 20k

Application one Canadian uni = 7k",Story
,"Applying set me back 20k and apply for colleges, which cost 7k just to even get a shot of being accepted.",,,,Business
,"And I got a full-ride scholarship… ",,,,Business
,"almost! It was painful.

I felt like a failure. My coping mechanism? I swore to apply to every scholarship possible.",,,,Business
,But navigating the application process was a nightmare.,,,,Business
,"The information was scattered, ",,,,Business
,the requirements complex.,,,,Business
,"One day, someone messaged my initiative and told me about a university.",,,,Business
And I got a full-ride… almost! It was painful.,1.5,3,,UBC 1 + Zoom 2,Story
"I felt like a failure.

My coping mechanism? I swore to apply to every scholarship possible. ",1.6,7,,Zoom 2,Story
"But navigating the application process was a nightmare. 

The information was scattered, the requirements complex. ",1.7,8,,"Left half website + Annotation “Is this legit?”

Right half 
Requirements page
”What’s an NSO Birth Cert and where is it? 
”Oh, Typhoon Odette took it away”",Story
"So I made my own scholarship database. 

Meet, Padayon Ko, a simple list of available scholarships for Filipinos with all the information in one spot.

I turned it into an initiative, which my high school adapted. ",1.8,14,,Screen Rec,Story
"One day, someone messaged my initiative and told me about a university.

And I got accepted with a scholarship!",1.9,7,,Minerva letter,Story
"but still, the first few words that came out of my dad's mouth was: 

sorry, but we can't afford this.",1.10,10,,"Sorry, but we can’t afford this.",Story
"Cue coping mechanism 

So I made a website looking for sponsorships. 

And the rest was history.",1.11,7,,Carl Website scroll through,Story
"It’s kind of a slippery slope, but the reason I got to Times Square was because of a scholarship. Fill that in.",1.12,5,,Fill in the boxes,Story
"Because of that, it is with great pride for me to say

Hello everyone, my name is Carl Kho. I major in computer science and minor in Neuropsychology at Minerva University, where I study in seven different countries.",1.13,13,,Video scroll through mu countries,Story
"The best? But it’s not just me, because of Padayon Ko, many students from my High School get to enjoy international scholarships too!",1.14,8,,Screen shots,Story
"Today, I am presenting an upgraded Padayon Ko with AI because I want to multiply that impact for the 3.3 million Filipino students who stopped education because they couldn’t afford it.",1.15,12,,Photo filipino kids,Story
,2—History+BackendUpgrade,,,,Demo
,,,,,Demo
"This is my working prototype.

Padayon Ko now features a cleaner interface. 

I can clearly see what the prize is and if I’m interested, I am greeted with friendlier language telling me how to claim it.",2.1,10.2,,VID IN FIGMA,Demo
I also use AI along with other APIs to automatically bring the information to them; where Filipinos are the most active — Facebook.,2.2,9,,VID IN FIGMA,Demo
,3—PERSONALIZATION,,,,Demo
"To our professionals, do you want go to back to being students again?

Walk you through Padayon ko’ features.

Judges, here I show you feasibility, but wait until the end for Uniqueness of Ideas",3.1,12,,“Want to be students again?”,Demo
"For first timers

We have an onboarding process. It is available in English, Cebuano, and Tagalog

This part also gathers your information. After which, we give users a surprise. 

We give them their personal elevator pitch for networking, an introduction to the right person could go a long way!",3.2,20,,VID IN FIGMA,Demo
"But we don't stop there! 

Gemini's embedding model also analyzes your profile for surprise # two.

Padayon Ko matches you with  three scholarships to give you a headstart on your journey.",3.3,12,,VID IN FIGMA,Demo
But what I’m really excited` for are the AI tools to help you supercharge your scholarship applications,3.4,5.16,,,Demo
,4-TOOLS,,,,Demo
"First stop — Achievement Tracker

Simply answer a few questions about your achievement — and then our AI transforms them into bullet points and descriptions ready to impress any scholarship committee.

Not just any AI, X-Y-Z format people from Google recommend.",4.1,15,,VID IN FIGMA,Demo
"Let’s zoom out. Why are they important? 

Have you played Uno the card game before? 

You know how satisfying it is when a college asks “tell me about your leadership skills” and then boom “I’ve had that ready the whole time”. 

Saving time and energy.",4.1.5,18,,"“Did you achieve anything in life?”

UNO REVERSE",Demo
"Second — Foundational Essays.

Foundational is the word here. 

This section introduces you to 10 common application questions you can write with AI.

Again, UNO. 

Padayon Ko’s AI will then become your personal editorial team.

It gives your answers to an AI agent who is good at bringing out the technical details, then someone who is good at writing storyies,  then someone who knows your style of speaking so it won’t sound too robotic, so don’t worry.",4.2,30,,VID IN FIGMA,Demo
"But what are they for?

Meet Super Essays! 

This is where Padayon Ko shines.

Our AI looks at your foundational essays and achievements and merges them to generate new essays tailored to new application questions. 

Copy paste - and focus on applying. (sped up)",4.3,18,,VID IN FIGMA,Demo
"Pause. Breathe. 

A few Quick notes: 

1. You can either write or speak your input in any language. For example, Tagalog:

8 secs

Cebuano

8 secs
",4.4 (spedup),26,,VID IN FIGMA,Demo
"
Knowing how to start is difficult. That is why we emphasize turning simple question answers into narratives for you to experience less cognitive load.
",4.4.2,8,,"“Story”
- Charac
- Plot

SS of Achievement Tracker",Demo
"
This is successfully achieved by using comprehensive AI prompts following Google’s prompting guidelines.",4.4.3,8,,,Demo
,5—Practice,,,,Demo
"Unfortunately, Filipino studying in publicly-funded schools don’t take the SATs by default. We even have to take English proficiency tests to be eligible for international scholarships.

That is why we included practice bots in Padayon Ko.",5.1 (spedup),14.01,,SAT IELTS “CROSS SIGN”,Demo
"Meet MathyYou, our AI-powered Math Tutor. By converting abstract math questions into interest-aligned scenarios, MathyYou makes studying for the math section in the SAT engaging.",5.2,26,,VID IN FIGMA,Demo
"With a voice-only interface, Fluent upskills verbal communication with the option to focus on debating, storytelling, question-asking, or explanation. The key here is frameworks for speaking.

It’s even equipped with a natural sounding human voice.

After your conversation, Fluent gives you feedback on where you can improve.",5.3,26,,VID IN FIGMA,Demo
,6 — Business,,,,Business
"There are 23 million students in the Philippines. 

And we're targeting over 10.3 million junior and senior high school students. This represents a substantial market actively seeking educational opportunities and financial aid for higher education.",6.1,14,,Table,Business
"We project a conservative 2% market penetration in Year 1, reaching 206,000 students. We anticipate increasing this to 5% in Year 2 (515,000 students) and 10% in Year 3 (1,030,000 students). 

These projections are based on our targeted marketing efforts, strategic partnerships, and the growing demand for accessible scholarship information.”",6.2,22,,,Business
"We project a conservative 2% market penetration in Year 1, reaching 206,000 students. We anticipate increasing this to 5% in Year 2 (515,000 students) and 10% in Year 3 (1,030,000 students).

These projections are based on our targeted marketing efforts, strategic partnerships, and the growing demand for accessible scholarship information.”",6.3,,,,Business
"For schools, we offer tiered subscriptions starting at ₱50,000/year for up to 500 students. With approximately 60,000 schools in the Philippines, capturing just 1% in Year 1 (600 schools) generates ₱30M ($540,000 USD). We aim to increase this to 2% and 3% in subsequent years, yielding ₱60M and ₱90M respectively.",6.4,22,,,Business
"While harder to quantify initially, we are actively pursuing government partnerships, which we anticipate will contribute significantly to revenue in later years.",6.5,9,,,Business
"Our primary costs include cloud computing, team salaries (marketing, database maintenance, development), content creation, and outreach expenses. We estimate total operating costs of ₱15M ($270,000 USD) in Year 1, scaling proportionally with user growth in subsequent years.",6.6,14,,,Business
"Here’s a comprehensive view of our Lean Canvas, capturing the essence of Padayon Ko’s business model and strategy.",6.7,6,,,Business
"Focusing on the problems faced by Filipino students, our solution simplifies the scholarship process, making opportunities accessible and achievable.",6.8,8,,,Business
