Name,Date,Priority,Status,Tags,buildTag
[N_UI] Origin Story DB as col 1,,P1,Discontinued,,repo
[BE] Notion → SlidesAPI (img) → FB,,P1,Discontinued,,repo
User-Facing Notion Page (no login),,P1,Discontinued,,repo
Origin Story Modified,,P1,Discontinued,,repo
Foundational Achievements,,P1,Discontinued,,repo
Onboarding Flow,"August 6, 2024",P1,Discontinued,non-tech,misc
http://Name.org free GitHub for site name (notion pages?),,P2,Discontinued,,repo
Single UI,,P2,Discontinued,,repo
Notion API as backend for editors (easy accessibility),,P1,Discontinued,,repo
Aggregate all code to one http://main.py and separate flask backend,,P1,Discontinued,,repo
Organize Prompts in Vertex AI,,P2,Discontinued,,repo
func() validate entry for all ai functions,,P2,Discontinued,,repo
select foundational essay/achievement,,P2,Discontinued,,repo
Query Minerva db and convert to notion card,,P1,Discontinued,,repo
GCP Architecture for GC SG 🇸🇬,,,Discontinued,,repo
Canva API - Autofill Thumbnails,,P3,Discontinued,,misc
Branding,,P3,Discontinued,,misc
onboarding form → chroma DB,,P3,Discontinued,,api
newDB_item → thumbnail gen → Facebook Post,,P1,Discontinued,,api
Toy Reveal,"July 19, 2024",,Discontinued,,loom
Shot List for Longer Demo Video for Ahong/DonMendoza,"August 19, 2024",P1,Not started,video_entry,loom
[VID] Complete Workflows for all (Claude?),,P1,Not started,,repo
[BE] Matching | Cloud Function + Scheduler,,P1,Not started,,repo
[BE] Improve watercooler prompts,,P1,Not started,,repo
[FE] Unify CSS style,,P1,Not started,,repo
[N_UI] Add writeups for each feature,,P2,Not started,,repo
[N_UI] Public-Facing Page,,P1,Not started,,repo
[N_UI] Change Kabaw to MathyYou,,P2,Not started,,repo
[N_UI] list scholarships,,P1,Not started,,repo
[N_UI] FB Comments should have the Tagalog and Visayan Version of the opportunity,,P1,Not started,,repo
[N_UI] rebrand application tracker,,P4,Not started,,repo
[BE/FE] feedback_steps_ai_is_in code,,P1,Not started,,repo
add captions for kabaw (SAT)/Kasturya (Eng Proficiency)/Origin story,,P1,Not started,,repo
[FE] add iFrames to Kabaw (Mathy),,P1,Not started,,repo
[FE] Essays — Split essay title and content,,P1,Not started,,repo
[N_UI] Make 2nd page for init task list in case users want to view again,,P3,Not started,,repo
[N_UI] Onboarding — Feature and Team Shapes!,,P2,Not started,,repo
[N_UI]  Add Cebuano/Tagalog toggles (?),,P3,Not started,,repo
GCP For Students,,Content,Not started,,repo
Model Garden (Individual),,Content,Not started,,repo
[BE] Add Speech to Text for all AI,,P1,Not started,,repo
Function Calling,,Content,Not started,,repo
Code Execution (Wolfram Alternative),,Content,Not started,,repo
Format for Screen Recording,,P1,In progress,,repo
Screen Studio,,P1,In progress,,repo
[BE] Ntn → FB Improvements,"August 11, 2024",P1,In progress,dev,"AI, misc, notion"
