Name,C_Done?,Duration (secs),N_Done?,video
5.3 Fluent,Yes,11.2,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/Fluent_pre.mp4"
5.2 MathyYou,Yes,12.7,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/MathyYou.mp4
2.1 since 2022,Yes,6.23,No,PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/Readthrough.mp4
,No,,No,
2.2 Ntn → FB,Yes,7,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/ntn_to_fb.mp4
3.2 Onboard → Bio,Yes,12.13,Yes,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_to_bio_left.mp4
,No,,No,
,No,,No,
3.3 Onboard → Reco,Yes,9.06,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_left.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/profile_scholar_match_right.mp4"
,No,,No,
4.1 Achi Track,Yes,10.09,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/AchiTracker.mp4, PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/YELLOW_AchiTracker.mp4"
4.2 F Essays,Yes,10.06,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssays.mp4, ../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/FoundationalEssay_New.mp4"
4.3 S Essays,Yes,8.16,Yes,"../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/SuperEssay.mp4, PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/YELLOW_SuperEssay.mp4"
4.4 Quick Note,No,,No,../../../Shot%20List%20for%20Longer%20Demo%20Video%20for%20Ahong%20DonMendo%202dfbfb274f4e460798ad10f99d714c71/quick_note.mp4
1.0 Our Solution,Yes,,Yes,PK%20-%20Screen%20Recordings%20d475dbfd55184a53bba5b37df4bd069d/OurSolution.mp4
,No,,No,
,No,,No,
