Name,Assign,Priority,Property,Status
Volunteer Hiring,,P0 - Urgent,"October 21, 2021 10:45 AM",Completed
Branding (Creative),Carl Kho,P0 - Urgent,"October 18, 2021 10:01 PM",Completed
Make Group template structure,Carl Kho,P0 - Urgent,"October 18, 2021 10:01 PM",In progress
Ask local gov't for Active Orgs,,P1 - Important,"October 18, 2021 10:01 PM",Not started
indiv Schools consent,Carl Kho,P1 - Important,"October 18, 2021 10:01 PM",Not started
Legal not liable form?,,P1 - Important,"October 18, 2021 10:01 PM",Not started
New Scholarship Form,,P2 - Do when free,"October 18, 2021 10:01 PM",Completed
Marketing with STEC,,P2 - Do when free,"October 18, 2021 10:01 PM",Not started
Branding (Culture),,P2 - Do when free,"October 18, 2021 10:01 PM",Not started
Request Feature,,P3 - Nice to have,"October 18, 2021 10:01 PM",Not started
Studies to aid the need of our solution,,P3 - Nice to have,"October 18, 2021 10:01 PM",Not started
SocMed Intro,,,"October 21, 2021 10:48 AM",Not started
