Name,Done?,Fee,University
Clara Abbott - Financial Grant (Undergrad),No,jan 2022 pa,Misc
Existing Essays,Yes,,Misc
IELTS,Yes,11 650 PHP (290 CAD),Misc
Financial Info,Yes,,Misc
Study Permit (Visa),No,6 000 PHP (150 CAD),Misc
International Scholars Program,Yes,Important!,University of British Columbia
UBC Regular Application,Yes,,University of British Columbia
SCHOLARSHIP OPPORTUNITIES,Yes,5000 PHP (123 CAD),University of British Columbia
ASSORTED,No,,University of British Columbia
SCHOLARSHIP OPPORTUNITIES,Yes,7300 PHP (180 CAD),University of Toronto
U of T Regular Application,No,,University of Toronto
Forms C → I - Instructions,Yes,30 November 2021,DOST-SEI Undergraduate Scholarship
Form C - Certificate of Good Moral Character,Yes,,DOST-SEI Undergraduate Scholarship
Form D - Certificate of Good Health,Yes,,DOST-SEI Undergraduate Scholarship
Form E1 E2 - Principal’s Certification,Yes,,DOST-SEI Undergraduate Scholarship
Form F - Certificate of Residency,Yes,,DOST-SEI Undergraduate Scholarship
Form G - Parent’s Certification – Applicant has no pending immigration application to another country,Yes,,DOST-SEI Undergraduate Scholarship
Form H - Applicant’s Certification Re- Not a DOST Scholar prior to this application,Yes,,DOST-SEI Undergraduate Scholarship
Form I - Signed Declaration of Applicant and the Parent/Legal Guardian,Yes,,DOST-SEI Undergraduate Scholarship
"Recent picture, passport size (4.5 cm x 3.5 cm or 1.8 inches x 1.4 inches)",Yes,,DOST-SEI Undergraduate Scholarship
Birth Certificate,Yes,,DOST-SEI Undergraduate Scholarship
Birth Certificate,Yes,,Misc
Parent/s or Legal Guardian’s 2020 Income Tax Return,Yes,,DOST-SEI Undergraduate Scholarship
,No,,National University of Singapore
NUS Regular Application,No,,National University of Singapore
SCHOLARSHIP OPPORTUNITIES,No,,Nanyang Technological University (SG)
Stanford Regular Application,No,90 USD,Stanford (Open Philantrophy)
"Suppose it is 2024/2025 (or whatever year you will finish your degree), you are about to graduate from university, and you are thinking about what to do next. How would you reason about this question, and what are some possible paths that seem potentially compelling to you today?",No,,Stanford (Open Philantrophy)
"Suppose you wanted to use your future career to solve one important problem and/or advance one important cause. If you would have to pick one such cause/problem today, what would it be and why?",No,,Stanford (Open Philantrophy)
"Discuss up to three books, articles, or ideas that have significantly shaped your views about how to do good in the world.",No,,Stanford (Open Philantrophy)
"University Of Toronto
Lester B. Pearson International Scholarship | Scholarship Essays",No,,University of Toronto
